0,1,2,key
106270,376901,711273,10000000000_3_1_CV1
83040,294513,555794,10000000000_3_1_GYR
190023,673943,1271840,10000000000_3_1_CTR
192199,681661,1286406,10000000000_3_1_CTB
107200,380201,717500,10000000000_3_1_VRY
74827,484353,908541,10000000000_3_2_SMG
31870,206288,386952,10000000000_3_2_AC1
44014,284898,534407,10000000000_3_2_CV1
34483,223207,418688,10000000000_3_2_GYR
78784,509965,956584,10000000000_3_2_CTR
79642,515521,967004,10000000000_3_2_CTB
44400,287400,539100,10000000000_3_2_VRY
124987,450086,900340,10000000000_3_3_SMG
53233,191694,383459,10000000000_3_3_AC1
73484,264620,529338,10000000000_3_3_CV1
57567,207303,414684,10000000000_3_3_GYR
131596,473886,947949,10000000000_3_3_CTR
133034,479065,958309,10000000000_3_3_CTB
74200,267200,534500,10000000000_3_3_VRY
79040,479174,911419,10000000000_3_4_SMG
34685,208792,396870,10000000000_3_4_AC1
47386,287272,546409,10000000000_3_4_CV1
37615,226428,430393,10000000000_3_4_GYR
85832,516678,982098,10000000000_3_4_CTR
85850,520465,989956,10000000000_3_4_CTB
48000,291001,553500,10000000000_3_4_VRY
116503,559282,1094320,10000000000_3_5_SMG
47376,227429,444999,10000000000_3_5_AC1
68598,329307,644339,10000000000_3_5_CV1
53717,257872,504566,10000000000_3_5_GYR
122728,589165,1152791,10000000000_3_5_CTR
124135,595916,1166000,10000000000_3_5_CTB
69200,332200,650000,10000000000_3_5_VRY
94974,479591,954628,10000000000_4_1_SMG
40450,204260,406580,10000000000_4_1_AC1
55811,281828,560978,10000000000_4_1_CV1
43674,220542,438990,10000000000_4_1_GYR
99996,504952,1005107,10000000000_4_1_CTR
101089,510470,1016092,10000000000_4_1_CTB
56301,284300,565900,10000000000_4_1_VRY
125907,519154,1062105,10000000000_4_2_SMG
53521,220682,451480,10000000000_4_2_AC1
73702,305248,624939,10000000000_4_2_CV1
57870,238614,488165,10000000000_4_2_GYR
132496,546322,1117687,10000000000_4_2_CTR
134088,552888,1131119,10000000000_4_2_CTB
74600,307600,629300,10000000000_4_2_VRY
158591,610261,1196421,10000000000_4_3_SMG
67543,259907,509549,10000000000_4_3_AC1
93281,358946,703717,10000000000_4_3_CV1
73152,280528,549652,10000000000_4_3_GYR
167483,642279,1258451,10000000000_4_3_CTR
168713,649212,1272784,10000000000_4_3_CTB
94100,362100,709900,10000000000_4_3_VRY
110717,554598,1204554,10000000000_4_4_SMG
47132,236088,512768,10000000000_4_4_AC1
65062,325905,707845,10000000000_4_4_CV1
50861,254767,553339,10000000000_4_4_GYR
116508,583602,1267548,10000000000_4_4_CTR
117846,590306,1282109,10000000000_4_4_CTB
65600,328600,713700,10000000000_4_4_VRY
93824,578946,1115274,10000000000_4_5_SMG
39942,246460,474778,10000000000_4_5_AC1
55164,340391,655726,10000000000_4_5_CV1
42921,264843,510191,10000000000_4_5_GYR
98734,609243,1173638,10000000000_4_5_CTR
99865,616220,1187079,10000000000_4_5_CTB
55700,343700,662100,10000000000_4_5_VRY
120382,554768,1127214,10000000000_5_1_SMG
51711,237170,481574,10000000000_5_1_AC1
70845,326478,663359,10000000000_5_1_CV1
55785,255857,519517,10000000000_5_1_GYR
127315,583929,1185668,10000000000_5_1_CTR
128129,590466,1199748,10000000000_5_1_CTB
71500,329500,669500,10000000000_5_1_VRY
100731,493207,1190232,10000000000_5_2_SMG
42903,210066,506942,10000000000_5_2_AC1
59309,290394,700792,10000000000_5_2_CV1
46372,227049,547925,10000000000_5_2_GYR
106002,519018,1252519,10000000000_5_2_CTR
107216,524961,1266863,10000000000_5_2_CTB
59800,292800,706600,10000000000_5_2_VRY
186911,622135,1220484,10000000000_5_3_SMG
79609,264979,519827,10000000000_5_3_AC1
110000,366135,718271,10000000000_5_3_CV1
85683,285195,559486,10000000000_5_3_GYR
196692,654692,1284354,10000000000_5_3_CTR
198840,661843,1298383,10000000000_5_3_CTB
110800,368800,723500,10000000000_5_3_VRY
202714,721282,1332284,10000000000_5_4_SMG
86606,307356,567454,10000000000_5_4_AC1
119241,424274,783678,10000000000_5_4_CV1
93016,330104,609452,10000000000_5_4_GYR
213977,759383,1399990,10000000000_5_4_CTR
215765,767722,1399990,10000000000_5_4_CTB
120400,428400,791300,10000000000_5_4_VRY
97824,650080,1399990,10000000000_5_5_SMG
41976,277179,624990,10000000000_5_5_AC1
57539,382368,866540,10000000000_5_5_CV1
45276,298972,624990,10000000000_5_5_GYR
103605,684138,1399990,10000000000_5_5_CTR
104122,691935,1399990,10000000000_5_5_CTB
58100,386100,874990,10000000000_5_5_VRY
49525,517817,1187576,10000000000_6_1_SMG
21155,221191,507286,10000000000_6_1_AC1
29103,304291,697868,10000000000_6_1_CV1
22763,238000,545835,10000000000_6_1_GYR
52088,544615,1249036,10000000000_6_1_CTR
52684,550849,1263333,10000000000_6_1_CTB
29400,307400,705000,10000000000_6_1_VRY
120667,563898,1202622,10000000000_6_2_SMG
51369,240055,511963,10000000000_6_2_AC1
71014,331862,707759,10000000000_6_2_CV1
55461,259179,552750,10000000000_6_2_GYR
126982,593408,1265558,10000000000_6_2_CTR
128369,599889,1279381,10000000000_6_2_CTB
71600,334600,713600,10000000000_6_2_VRY
132908,491707,1118680,10000000000_6_3_SMG
56578,209316,476212,10000000000_6_3_AC1
78216,289367,658336,10000000000_6_3_CV1
61055,225877,513891,10000000000_6_3_GYR
139786,517154,1176574,10000000000_6_3_CTR
141307,522782,1189377,10000000000_6_3_CTB
78900,291901,664100,10000000000_6_3_VRY
33702,443413,853784,10000000000_6_4_SMG
14696,193352,372295,10000000000_6_4_AC1
20274,266736,513596,10000000000_6_4_CV1
15913,209364,403126,10000000000_6_4_GYR
36264,477120,918687,10000000000_6_4_CTR
36505,480289,924789,10000000000_6_4_CTB
20400,268401,516800,10000000000_6_4_VRY
60137,494739,1043382,20000000000_1_1_SMG
26002,211641,445992,20000000000_1_1_AC1
35391,291151,614024,20000000000_1_1_CV1
27846,226651,477624,20000000000_1_1_GYR
64056,521386,1098722,20000000000_1_1_CTR
63973,526299,1109941,20000000000_1_1_CTB
35700,293700,619400,20000000000_1_1_VRY
122190,540741,1196582,20000000000_1_2_SMG
52017,230196,509391,20000000000_1_2_AC1
71911,318233,704204,20000000000_1_2_CV1
56133,248410,549695,20000000000_1_2_GYR
128514,568724,1258506,20000000000_1_2_CTR
129917,574933,1272245,20000000000_1_2_CTB
72400,320400,709000,20000000000_1_2_VRY
106108,566636,1091268,20000000000_1_3_SMG
45192,241333,464776,20000000000_1_3_AC1
62444,333462,642205,20000000000_1_3_CV1
48565,259343,499461,20000000000_1_3_GYR
111599,595961,1147744,20000000000_1_3_CTR
112939,603120,1161530,20000000000_1_3_CTB
62900,335900,646900,20000000000_1_3_VRY
116178,542780,1094327,20000000000_1_4_SMG
49432,230943,465616,20000000000_1_4_AC1
68337,319266,643688,20000000000_1_4_CV1
53343,249216,502457,20000000000_1_4_GYR
122193,570885,1150991,20000000000_1_4_CTR
123524,577100,1163522,20000000000_1_4_CTB
68900,321900,649000,20000000000_1_4_VRY
151415,611729,1209462,20000000000_1_5_SMG
64456,260408,514858,20000000000_1_5_AC1
88762,359922,712033,20000000000_1_5_CV1
69778,281906,557363,20000000000_1_5_GYR
159334,643721,1272714,20000000000_1_5_CTR
161158,651093,1287289,20000000000_1_5_CTB
89800,362800,717300,20000000000_1_5_VRY
92982,502303,1188379,20000000000_2_1_SMG
39719,214565,507630,20000000000_2_1_AC1
54747,295749,699701,20000000000_2_1_CV1
42783,231119,546795,20000000000_2_1_GYR
97848,528590,1250569,20000000000_2_1_CTR
98969,534643,1264891,20000000000_2_1_CTB
55200,298200,705500,20000000000_2_1_VRY
39360,480710,870515,20000000000_2_2_SMG
17225,210369,380955,20000000000_2_2_AC1
23651,288848,523073,20000000000_2_2_CV1
18660,227890,412685,20000000000_2_2_GYR
43183,518729,938736,20000000000_2_2_CTR
42835,523153,947374,20000000000_2_2_CTB
23900,291900,528600,20000000000_2_2_VRY
61682,429075,897080,20000000000_2_3_SMG
26259,182660,381892,20000000000_2_3_AC1
36301,252517,527943,20000000000_2_3_CV1
28231,196383,410583,20000000000_2_3_GYR
64910,451529,944025,20000000000_2_3_CTR
65653,456700,954836,20000000000_2_3_CTB
36601,254600,532300,20000000000_2_3_VRY
124252,524953,982225,20000000000_2_4_SMG
52947,223697,418553,20000000000_2_4_AC1
73160,309094,578337,20000000000_2_4_CV1
57139,241406,451688,20000000000_2_4_GYR
130751,552411,1033600,20000000000_2_4_CTR
132316,559026,1045978,20000000000_2_4_CTB
73800,311800,583400,20000000000_2_4_VRY
101065,527220,1059156,20000000000_2_5_SMG
43067,224663,451336,20000000000_2_5_AC1
59394,309835,622442,20000000000_2_5_CV1
46233,241178,484513,20000000000_2_5_GYR
106351,554796,1114555,20000000000_2_5_CTR
107628,561460,1127942,20000000000_2_5_CTB
60001,313000,628801,20000000000_2_5_VRY
56122,465658,983898,20000000000_3_1_SMG
23914,198421,419247,20000000000_3_1_AC1
32995,273767,578448,20000000000_3_1_CV1
25673,213015,450083,20000000000_3_1_GYR
59061,490040,1035416,20000000000_3_1_CTR
59704,495379,1046695,20000000000_3_1_CTB
33300,276300,583800,20000000000_3_1_VRY
155300,573480,1150163,20000000000_3_2_SMG
66075,243994,489350,20000000000_3_2_AC1
91301,337147,676177,20000000000_3_2_CV1
71496,264015,529505,20000000000_3_2_GYR
163350,603206,1209782,20000000000_3_2_CTR
165229,610143,1223694,20000000000_3_2_CTB
92100,340100,682100,20000000000_3_2_VRY
96450,488172,950338,20000000000_3_3_SMG
