id,indices,key,state
CTB_00000000000_@2@4@water,173289#852370#1609620#2305801#3092363,CTB,water
CTR_00000000000_@2@4@water,171779#844945#1595599#2285715#3065426,CTR,water
CV1_00000000000_@2@4@water,95714#470796#889054#1273581#1708028,CV1,water
VRY_00000000000_@2@4@water,96700#475648#898215#1286704#1725629,VRY,water
PRS_00000000000_@2@4@water,3547#17447#32947#47197#63297,PRS,water
SMG_00000000000_@2@4@water,162905#801296#1513171#2167637#2907068,SMG,water
WTF_00000000000_@2@4@water,3548#17449#32951#47202#63303,WTF,water
AC1_00000000000_@2@5@air,89183#276248#497100,AC1,air
GYR_00000000000_@2@5@air,96901#300157#540125,GYR,air
CTB_00000000000_@2@5@air,223205#691391#1244141,CTB,air
CTR_00000000000_@2@5@air,221581#686360#1235088,CTR,air
CV1_00000000000_@2@5@air,121239#375544#675782,CV1,air
VRY_00000000000_@2@5@air,123000#381000#685600,VRY,air
SMG_00000000000_@2@5@air,209942#650308#1170213,SMG,air
AC1_00000000000_@2@5@water,62576#344428#669342#909112#1208581,AC1,water
GYR_00000000000_@2@5@water,68058#374604#727983#988759#1314464,GYR,water
CTB_00000000000_@2@5@water,155855#857860#1667114#2264306#3010185,CTB,water
CTR_00000000000_@2@5@water,154949#852870#1657418#2251135#2992677,CTR,water
CV1_00000000000_@2@5@water,86320#475122#923325#1254077#1667180,CV1,water
VRY_00000000000_@2@5@water,87150#479689#932200#1266131#1683204,VRY,water
PRS_00000000000_@2@5@water,3197#17597#34197#46447#61747,PRS,water
SMG_00000000000_@2@5@water,146872#808413#1571024#2133794#2836681,SMG,water
WTF_00000000000_@2@5@water,3197#17597#34197#46447#61747,WTF,water
AC1_00000000000_@3@3@air,93671#271138#532901,AC1,air
GYR_00000000000_@3@3@air,102064#295430#580646,GYR,air
CTB_00000000000_@3@3@air,234556#678939#1334405,CTB,air
CTR_00000000000_@3@3@air,232849#673999#1324694,CTR,air
CV1_00000000000_@3@3@air,127794#369908#727027,CV1,air
VRY_00000000000_@3@3@air,130900#378900#744700,VRY,air
SMG_00000000000_@3@3@air,220400#637965#1253873,SMG,air
AC1_00000000000_@3@3@water,38061#304895#575640#805332#1146450,AC1,water
GYR_00000000000_@3@3@water,41471#332215#627218#877491#1249174,GYR,water
CTB_00000000000_@3@3@water,94741#758943#1432878#2004627#2853736,CTB,water
CTR_00000000000_@3@3@water,94219#754761#1424982#1993581#2838011,CTR,water
CV1_00000000000_@3@3@water,52542#420899#794654#1111738#1582642,CV1,water
VRY_00000000000_@3@3@water,53006#424616#801671#1121556#1596618,VRY,water
PRS_00000000000_@3@3@water,1947#15597#29447#41197#58647,PRS,water
